Horário de Partida,Horário de Chegada,De,Para,Duração da viagem,Tipo de Serviço,Preço da passagem
19:30,02:30,"Sao Paulo, SP - Tiete","Curitiba, PR",7h 0m,Executivo,"R$109,99 - R$79,99"
19:30,02:05,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 35m,Semileito - C/ AR,"R$104,32"
20:00,02:30,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,"Leito
7 disponíveis","R$139,90"
20:00,02:30,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,Convencional,"R$75,68"
22:00,05:00,"Sao Paulo, SP - Tiete","Curitiba, PR",7h 0m,Leito-Cama,"R$259,99"
22:00,04:30,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,Semileito,"R$75,47"
22:00,04:30,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,"Cama
2 disponíveis","R$233,47"
22:15,04:50,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 35m,"Leito
3 disponíveis","R$214,83"
22:15,04:50,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 35m,"Semileito - C/ AR
13 disponíveis","R$104,32"
22:15,04:50,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 35m,"Leito
5 disponíveis","R$196,86"
22:15,04:50,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 35m,"Semileito - C/ AR
3 disponíveis","R$94,71"
22:45,05:20,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 35m,Executivo,"R$109,99 - R$79,99"
23:00,06:00,"Sao Paulo, SP - Barra Funda","Curitiba, PR",7h 0m,Semileito,"R$69,99"
23:05,05:35,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,"Leito - Individual
7 disponíveis","R$144,99"
23:05,05:35,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,"Leito
3 disponíveis","R$148,99"
23:05,05:35,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,Semileito,"R$84,99"
23:30,05:50,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 20m,"Leito
1 disponíveis","R$219,94 - R$99,99"
23:30,06:00,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,Semileito,"R$79,48"
23:30,06:00,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,"Cama
2 disponíveis","R$251,26"
23:30,05:50,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 20m,"Leito - Individual
11 disponíveis","R$109,99"
23:35,05:35,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 0m,Leito-Cama,"R$259,99"
23:35,05:35,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 0m,Semileito - Premium,"R$109,99 - R$89,99"
23:45,06:15,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,Conv - PLUS,"R$79,00"
23:55,06:35,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 40m,"Leito
10 disponíveis","R$161,88"
23:59,06:29,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,"Leito - Individual
7 disponíveis","R$125,60"
23:59,06:19,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 20m,Semileito,"R$125,31 - R$75,00"
23:59,06:29,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,Leito-Cama,"R$259,99"
23:59,06:19,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 20m,"Cama - Individual
2 disponíveis","R$229,90"
23:59,06:19,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 20m,"Cama
6 disponíveis","R$197,90"
23:59,06:29,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,Leito,"R$107,59"
23:59,06:29,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,Semileito - Premium,"R$109,99 - R$89,99"
