Horário de Partida,Horário de Chegada,De,Para,Duração da viagem,Tipo de Serviço,Preço da passagem
16:50,17:50,"Sao Paulo, SP - Jabaquara","Praia Grande, SP - Vila Mirim",1h 0m,Litoraneo,"R$33,89"
17:15,19:50,"Sao Paulo, SP - Jabaquara","Praia Grande, SP - Vila Mirim",2h 35m,Litoraneo,"R$44,80"
17:15,19:20,"Sao Paulo, SP - Jabaquara","Praia Grande, SP - Tude Bastos",2h 5m,Litoraneo,"R$39,70"
17:30,18:50,"Sao Paulo, SP - Jabaquara","Praia Grande, SP - Vila Mirim",1h 20m,Litoraneo,"R$33,89"
17:50,18:50,"Sao Paulo, SP - Jabaquara","Praia Grande, SP - Vila Mirim",1h 0m,Litoraneo,"R$33,89"
18:00,19:45,"Sao Paulo, SP - Jabaquara","Praia Grande, SP - Tude Bastos",1h 45m,Litoraneo,"R$39,70"
18:00,20:15,"Sao Paulo, SP - Jabaquara","Praia Grande, SP - Vila Mirim",2h 15m,Litoraneo,"R$44,80"
18:30,19:50,"Sao Paulo, SP - Jabaquara","Praia Grande, SP - Vila Mirim",1h 20m,Litoraneo,"R$33,89"
18:45,21:05,"Sao Paulo, SP - Jabaquara","Praia Grande, SP - Vila Mirim",2h 20m,Litoraneo,"R$44,80"
18:45,20:35,"Sao Paulo, SP - Jabaquara","Praia Grande, SP - Tude Bastos",1h 50m,Litoraneo,"R$39,70"
19:30,20:50,"Sao Paulo, SP - Jabaquara","Praia Grande, SP - Vila Mirim",1h 20m,"Litoraneo
9 disponíveis","R$33,89"
19:45,21:35,"Sao Paulo, SP - Jabaquara","Praia Grande, SP - Tude Bastos",1h 50m,Litoraneo,"R$39,70"
19:45,22:05,"Sao Paulo, SP - Jabaquara","Praia Grande, SP - Vila Mirim",2h 20m,Litoraneo,"R$44,80"
20:30,21:50,"Sao Paulo, SP - Jabaquara","Praia Grande, SP - Vila Mirim",1h 20m,Litoraneo,"R$33,89"
20:45,22:25,"Sao Paulo, SP - Jabaquara","Praia Grande, SP - Tude Bastos",1h 40m,Litoraneo,"R$39,70"
20:45,22:55,"Sao Paulo, SP - Jabaquara","Praia Grande, SP - Vila Mirim",2h 10m,Litoraneo,"R$44,80"
21:00,22:00,"Sao Paulo, SP - Jabaquara","Praia Grande, SP - Vila Mirim",1h 0m,Litoraneo,"R$33,89"
22:00,23:00,"Sao Paulo, SP - Jabaquara","Praia Grande, SP - Vila Mirim",1h 0m,Litoraneo,"R$33,89"
22:45,00:45,"Sao Paulo, SP - Jabaquara","Praia Grande, SP - Tude Bastos",2h 0m,Litoraneo,"R$39,70"
22:45,01:15,"Sao Paulo, SP - Jabaquara","Praia Grande, SP - Vila Mirim",2h 30m,Litoraneo,"R$44,80"
23:00,00:00,"Sao Paulo, SP - Jabaquara","Praia Grande, SP - Vila Mirim",1h 0m,Litoraneo,"R$33,89"
