Horário de Partida,Horário de Chegada,De,Para,Duração da viagem,Tipo de Serviço,Preço da passagem
07:00,08:20,"Sao Paulo, SP - Tiete","Mogi Das Cruzes, SP",1h 20m,Metropolitano,"R$22,60"
08:15,09:35,"Sao Paulo, SP - Tiete","Mogi Das Cruzes, SP",1h 20m,Metropolitano,"R$22,60"
09:15,10:35,"Sao Paulo, SP - Tiete","Mogi Das Cruzes, SP",1h 20m,Metropolitano,"R$22,60"
10:00,11:20,"Sao Paulo, SP - Tiete","Mogi Das Cruzes, SP",1h 20m,Metropolitano,"R$22,60"
11:00,12:20,"Sao Paulo, SP - Tiete","Mogi Das Cruzes, SP",1h 20m,Metropolitano,"R$22,60"
12:00,13:20,"Sao Paulo, SP - Tiete","Mogi Das Cruzes, SP",1h 20m,Metropolitano,"R$22,60"
13:00,14:20,"Sao Paulo, SP - Tiete","Mogi Das Cruzes, SP",1h 20m,Metropolitano,"R$22,60"
14:00,15:20,"Sao Paulo, SP - Tiete","Mogi Das Cruzes, SP",1h 20m,Metropolitano,"R$22,60"
15:00,16:20,"Sao Paulo, SP - Tiete","Mogi Das Cruzes, SP",1h 20m,Metropolitano,"R$22,60"
15:50,17:10,"Sao Paulo, SP - Tiete","Mogi Das Cruzes, SP",1h 20m,Metropolitano,"R$22,60"
16:40,19:10,"Sao Paulo, SP - Tiete","Mogi Das Cruzes, SP",2h 30m,Metropolitano,"R$22,90"
17:15,18:35,"Sao Paulo, SP - Tiete","Mogi Das Cruzes, SP",1h 20m,Metropolitano,"R$22,60"
18:00,19:21,"Sao Paulo, SP - Tiete","Mogi Das Cruzes, SP",1h 21m,Metropolitano,"R$22,90"
18:30,19:50,"Sao Paulo, SP - Tiete","Mogi Das Cruzes, SP",1h 20m,Metropolitano,"R$22,60"
19:00,20:20,"Sao Paulo, SP - Tiete","Mogi Das Cruzes, SP",1h 20m,Metropolitano,"R$22,60"
20:00,21:20,"Sao Paulo, SP - Tiete","Mogi Das Cruzes, SP",1h 20m,Metropolitano,"R$22,60"
21:00,22:20,"Sao Paulo, SP - Tiete","Mogi Das Cruzes, SP",1h 20m,Metropolitano,"R$22,60"
