Horário de Partida,Horário de Chegada,De,Para,Duração da viagem,Tipo de Serviço,Preço da passagem
06:30,15:55,"Sao Paulo, SP - Barra Funda","Fernandopolis, SP",9h 25m,Convencional,"R$179,66"
13:00,23:00,"Sao Paulo, SP - Barra Funda","Fernandopolis, SP",10h 0m,Convencional,"R$180,57"
15:00,00:15,"Sao Paulo, SP - Barra Funda","Fernandopolis, SP",9h 15m,Convencional,"R$180,57"
19:00,04:00,"Sao Paulo, SP - Barra Funda","Fernandopolis, SP",9h 0m,Convencional,"R$180,57"
21:00,06:40,"Sao Paulo, SP - Barra Funda","Fernandopolis, SP",9h 40m,"Convencional
7 disponíveis","R$180,57"
21:46,05:51,"Sao Paulo, SP - Barra Funda","Fernandopolis, SP",8h 5m,Leito-Cama,"R$274,86"
22:10,06:40,"Sao Paulo, SP - Barra Funda","Fernandopolis, SP",8h 30m,"Leito-Cama
8 disponíveis","R$300,23"
22:15,05:02,"Sao Paulo, SP - Barra Funda","Fernandopolis, SP",6h 47m,Convencional,"R$180,57"
22:46,06:52,"Sao Paulo, SP - Barra Funda","Fernandopolis, SP",8h 6m,Convencional,"R$177,65"
