Horário de Partida,Horário de Chegada,De,Para,Duração da viagem,Tipo de Serviço,Preço da passagem
07:30,23:55,"Sao Paulo, SP - Tiete","Natal, RN - Rodoviaria",2d 16h 25m,Semileito,"R$598,46"
08:00,03:00,"Sao Paulo, SP - Tiete","Natal, RN - Rodoviaria",2d 19h 0m,Executivo,"R$659,99"
09:00,23:50,"Sao Paulo, SP - Tiete","Natal, RN - Rodoviaria",2d 14h 50m,Semileito,"R$598,46"
13:00,09:30,"Sao Paulo, SP - Tiete","Natal, RN - Rodoviaria",2d 20h 30m,Semileito,"R$360,39"
17:00,16:00,"Sao Paulo, SP - Tiete","Natal, RN - Rodoviaria",2d 23h 0m,Executivo,"R$659,99"
