Horário de Partida,Horário de Chegada,De,Para,Duração da viagem,Tipo de Serviço,Preço da passagem
17:45,18:55,"Sao Paulo, SP - Jabaquara","Santos, SP - Rodoviaria",1h 10m,Litoraneo,"R$32,40 - R$25,90"
18:30,19:40,"Sao Paulo, SP - Jabaquara","Santos, SP - Rodoviaria",1h 10m,Litoraneo,"R$32,40 - R$25,90"
19:55,21:55,"Sao Paulo, SP - Jabaquara","Santos, SP - Ponta da Praia",2h 0m,Litoraneo,"R$32,40 - R$25,90"
21:45,22:55,"Sao Paulo, SP - Jabaquara","Santos, SP - Rodoviaria",1h 10m,Litoraneo,"R$32,40 - R$25,90"
00:25,01:35,"Sao Paulo, SP - Jabaquara","Santos, SP - Rodoviaria",1h 10m,Litoraneo,"R$32,40"
00:25,02:05,"Sao Paulo, SP - Jabaquara","Santos, SP - Jose Menino",1h 40m,Litoraneo,"R$32,40"
05:45,06:55,"Sao Paulo, SP - Jabaquara","Santos, SP - Rodoviaria",1h 10m,Litoraneo,"R$32,40"
05:45,07:35,"Sao Paulo, SP - Jabaquara","Santos, SP - Ponta da Praia",1h 50m,Litoraneo,"R$32,40"
06:30,07:40,"Sao Paulo, SP - Jabaquara","Santos, SP - Rodoviaria",1h 10m,Litoraneo,"R$32,40"
06:30,08:10,"Sao Paulo, SP - Jabaquara","Santos, SP - Jose Menino",1h 40m,Litoraneo,"R$32,40"
07:00,08:40,"Sao Paulo, SP - Jabaquara","Santos, SP - Jose Menino",1h 40m,Litoraneo,"R$32,40"
07:00,08:10,"Sao Paulo, SP - Jabaquara","Santos, SP - Rodoviaria",1h 10m,Litoraneo,"R$32,40"
07:10,08:20,"Sao Paulo, SP - Jabaquara","Santos, SP - Rodoviaria",1h 10m,Litoraneo,"R$32,40"
07:10,09:00,"Sao Paulo, SP - Jabaquara","Santos, SP - Ponta da Praia",1h 50m,Litoraneo,"R$32,40"
07:40,09:20,"Sao Paulo, SP - Jabaquara","Santos, SP - Jose Menino",1h 40m,Litoraneo,"R$32,40"
07:40,08:50,"Sao Paulo, SP - Jabaquara","Santos, SP - Rodoviaria",1h 10m,Litoraneo,"R$32,40"
08:15,09:25,"Sao Paulo, SP - Jabaquara","Santos, SP - Rodoviaria",1h 10m,Litoraneo,"R$32,40"
08:15,09:55,"Sao Paulo, SP - Jabaquara","Santos, SP - Jose Menino",1h 40m,Litoraneo,"R$32,40"
08:30,10:20,"Sao Paulo, SP - Jabaquara","Santos, SP - Ponta da Praia",1h 50m,"Litoraneo
3 disponíveis","R$32,40"
08:30,10:30,"Sao Paulo, SP - Jabaquara","Santos, SP - Porto de Santos",2h 0m,"Litoraneo
3 disponíveis","R$32,40"
08:30,09:40,"Sao Paulo, SP - Jabaquara","Santos, SP - Rodoviaria",1h 10m,"Litoraneo
3 disponíveis","R$32,40"
08:50,10:30,"Sao Paulo, SP - Aeroporto de Congonhas","Santos, SP - Rodoviaria",1h 40m,"Litoraneo
15 disponíveis","R$29,30"
08:50,11:55,"Sao Paulo, SP - Aeroporto de Congonhas","Santos, SP - Porto de Santos",3h 5m,"Litoraneo
15 disponíveis","R$29,30"
08:50,11:25,"Sao Paulo, SP - Aeroporto de Congonhas","Santos, SP - Ponta da Praia",2h 35m,"Litoraneo
15 disponíveis","R$29,30"
09:00,10:40,"Sao Paulo, SP - Jabaquara","Santos, SP - Jose Menino",1h 40m,Litoraneo,"R$32,40"
09:00,10:10,"Sao Paulo, SP - Jabaquara","Santos, SP - Rodoviaria",1h 10m,Litoraneo,"R$32,40"
09:15,11:05,"Sao Paulo, SP - Jabaquara","Santos, SP - Ponta da Praia",1h 50m,Litoraneo,"R$32,40"
