Adesivo,Preço,Link
Vegeta Virus,"R$ 4,99",https://www.nerdstickers.com.br/todos/Vegeta-Virus/
Vegeta super sayajin,"R$ 2,99",https://www.nerdstickers.com.br/todos/Vegeta-super-sayajin/
Card Vegeta Insecto,"R$ 6,99",https://www.nerdstickers.com.br/todos/Card-Vegeta-Insecto/
Game skin Vegeta Virus,"R$ 39,90",https://www.nerdstickers.com.br/todos/Game-skin-Vegeta-Virus/
Card Number Vegeta Virus,"R$ 6,99",https://www.nerdstickers.com.br/todos/Card-Number-Vegeta-Virus/
Gogeta Blue,"R$ 2,99",https://www.nerdstickers.com.br/todos/Gogeta-Blue/
Genki dama,"R$ 8,99",https://www.nerdstickers.com.br/todos/Genki-dama/
Frieza,"R$ 4,99",https://www.nerdstickers.com.br/todos/Frieza/
Super Potato,"R$ 2,99",https://www.nerdstickers.com.br/todos/Super-Potato/
Dezoito,"R$ 4,99",https://www.nerdstickers.com.br/todos/Dezoito/
Gk Drift,"R$ 2,99",https://www.nerdstickers.com.br/todos/Gk-Drift/
Sr. Satan,"R$ 4,99",https://www.nerdstickers.com.br/todos/Sr.-Satan/
Namekuzei,"R$ 8,99",https://www.nerdstickers.com.br/todos/Namekuzei/
Kakaroto AT,"R$ 8,99",https://www.nerdstickers.com.br/todos/Kakaroto-AT/
Patria Boo 2,"R$ 4,99",https://www.nerdstickers.com.br/todos/Patria-Boo-2/
NBA,"R$ 4,99",https://www.nerdstickers.com.br/todos/NBA/
