Adesivo,Preço,Link
Skate fast,"R$ 4,99",https://www.nerdstickers.com.br/todos/Skate-fast/
Skate or die,"R$ 4,99",https://www.nerdstickers.com.br/todos/Skate-or-die/
Skate Astronaut,"R$ 2,99",https://www.nerdstickers.com.br/todos/Skate-Astronaut/
Skateboard turtle,"R$ 2,99",https://www.nerdstickers.com.br/todos/Skateboard-turtle/
ThreSticker,"R$ 4,99",https://www.nerdstickers.com.br/todos/ThreSticker/
Smith Grind,"R$ 4,99",https://www.nerdstickers.com.br/todos/Smith-Grind/
Só Os Loucos Sabem,"R$ 4,99",https://www.nerdstickers.com.br/todos/Só-Os-Loucos-Sabem/
Rebel,"R$ 4,99",https://www.nerdstickers.com.br/todos/Rebel/
Tradicional Shoes,"R$ 2,99",https://www.nerdstickers.com.br/todos/Tradicional-Shoes/
Hot chili,"R$ 4,99",https://www.nerdstickers.com.br/todos/Hot-chili/
Happy Hour,"R$ 4,99",https://www.nerdstickers.com.br/todos/Happy-Hour/
Mind the gap,"R$ 4,99",https://www.nerdstickers.com.br/todos/Mind-the-gap/
BMC,"R$ 2,99",https://www.nerdstickers.com.br/todos/BMC/
Goblin,"R$ 4,99",https://www.nerdstickers.com.br/todos/Goblin/
