Adesivo,Preço,Link
BartNaruto,"R$ 4,99",https://www.nerdstickers.com.br/todos/BartNaruto/
Minato,"R$ 4,99",https://www.nerdstickers.com.br/todos/Minato/
Narutto sábio,"R$ 4,99",https://www.nerdstickers.com.br/todos/Narutto-sábio/
Narutinho Food,"R$ 4,99",https://www.nerdstickers.com.br/todos/Narutinho-Food/
NaruHina,"R$ 4,99",https://www.nerdstickers.com.br/todos/NaruHina/
Akamaru,"R$ 2,99",https://www.nerdstickers.com.br/todos/Akamaru/
Ankatsuki two AS,"R$ 8,99",https://www.nerdstickers.com.br/todos/Ankatsuki-two-AS/
Card Akatsuki two,"R$ 6,99",https://www.nerdstickers.com.br/todos/Card-Akatsuki-two/
Card Obito JO,"R$ 6,99",https://www.nerdstickers.com.br/todos/Card-Obito-JO/
Máscara Tobi,"R$ 4,99",https://www.nerdstickers.com.br/todos/Máscara-Tobi/
Haku,"R$ 4,99",https://www.nerdstickers.com.br/todos/Haku/
Card Kurama,"R$ 6,99",https://www.nerdstickers.com.br/todos/Card-Kurama/
Card Itachi Nik JO,"R$ 6,99",https://www.nerdstickers.com.br/todos/Card-Itachi-Nik-JO/
Tanjiro Holo,"R$ 8,99",https://www.nerdstickers.com.br/todos/Tanjiro-Holo/
Itachi Drift,"R$ 4,99",https://www.nerdstickers.com.br/todos/Itachi-Drift/
Card Akatsuki,"R$ 6,99",https://www.nerdstickers.com.br/todos/Card-Akatsuki/
